Flüchtlingspolitik,Flüchtlingspolitik
Abschiebung,Flüchtlingspolitik
Ausschreitungen in Chemnitz,Flüchtlingspolitik
Erstaufnahmezentren,Flüchtlingspolitik
Demonstrationen in Köthen,Flüchtlingspolitik
Balkanroute,Flüchtlingspolitik

Nahost-Konflikt,Naher Osten
Netanjahu,Naher Osten
Zwei-Staten-Lösung,Naher Osten
Russischer Militäreinsatz in Syrien,Naher Osten
Bürgerkrieg in Syrien,Naher Osten
Islamischer Staat,Naher Osten
Bundeswehreinsatz in Syrien,Naher Osten

Revolution Tunesien,Arabischer Frühling
Bürgerkrieg in Libyen beenden,Arabischer Frühling
Proteste in Ägypten,Arabischer Frühling
Bashar Al-Assad,Arabischer Frühling

Angela Merkel,Angela Merkel
Neujahrsansprache,Angela Merkel
Regierungserklärung,Angela Merkel
gleichgeschlechtliche Ehe,Angela Merkel
Beziehungen zu Russland,Angela Merkel

Martin Schulz,Martin Schulz
Wahlkampfrede Martin Schulz,Martin Schulz
Schulzzug,Martin Schulz

Anschlag von Izmir am 5. Januar 2017,Terrorismus
Terroranschläge in Brüssel,Terrorismus
Terroranschläge in Paris,Terrorismus
Anschlag auf Charlie Hebdo,Terrorismus
Anschlag auf den Boston-Marathon,Terrorismus

Brexit,Brexit
EU-Austritt des Vereinigten Königreichs,Brexit
Theresa May,Brexit
Boris Johnson,Brexit
Austrittsverhandlungen,Brexit

Militärputsch in Simbabwe,Afrikapolitik
Bürgerkrieg im Südsudan,Afrikapolitik
Nelson Mandela,Afrikapolitik
Robert Mugabe,Afrikapolitik
Bundeswehr in Mali,Afrikapolitik

Jamaika-Sondierungsgespräche,Bundestagswahl
Koalitionsvertrag,Bundestagswahl
Große Koalition,Bundestagswahl

Barak Obama,Amerikapolitik
George Bush,Amerikapolitik
Donald Trump,Amerikapolitik
Präsidentschaftswahlkampf USA,Amerikapolitik

EU-Politik,EU-Politik
Upload-Filter,EU-Politik
Artikel 13,EU-Politik
Katalonien-Krise,EU-Politik
Carles Puigdemont Auslieferung,EU-Politik
Digitale Agenda für Europa,EU-Politik

Klima-Politik,Klima-Politik
Klimaschutzplan 2050,Klima-Politik

Türkei-Politik,Türkei-Politik
Böhmermann-Affäre,Türkei-Politik
Erdogan,Türkei-Politik
Putschversuch in der Türkei,Türkei-Politik
Ship-to-Gaza-Zwischenfall,Türkei-Politik

Verteidigungspolitik,Verteidigungs- und Rüstungspolitik
Rüstungsexporte,Verteidigungs- und Rüstungspolitik
NATO-Osterweiterung,Verteidigungs- und Rüstungspolitik
